0	278
0.01	274
0.02	270
0.03	264
0.04	259
0.05	256
0.06	256
0.07	260
0.08	272
0.09	292
0.1	320
0.11	352
0.12	385
0.13	413
0.14	434
0.15	449
0.16	456
0.17	456
0.18	452
0.19	442
0.2	431
0.21	420
0.22	410
0.23	402
0.24	396
0.25	391
0.26	385
0.27	379
0.28	371
0.29	362
0.3	353
0.31	344
0.32	336
0.33	328
0.34	321
0.35	315
0.36	312
0.37	311
0.38	312
0.39	313
0.4	316
0.41	318
0.42	320
0.43	321
0.44	320
0.45	317
0.46	315
0.47	312
0.48	308
0.49	303
0.5	299
0.51	295
0.52	291
0.53	287
0.54	283
0.55	279
0.56	278
0.57	278
0.58	276
0.59	274
0.6	273
0.61	272
0.62	273
0.63	274
0.64	274
0.65	274
0.66	275
0.67	277
0.68	279
0.69	281
0.7	283
0.71	285
0.72	292
0.73	297
0.74	298
0.75	296
0.76	295
0.77	293
0.78	290
0.79	288
0.8	289
