,Experiment name:,WILLIAMP2;
Duration:,2 0;
Rate:,100 per second;
Sensors:,Blood pressure (ID 3  Exp 1);
Range:,mm Hg;
Units:,mm Hg;
Time;
'0:0:0.0;1.81
'0:0:0.01;1.81
'0:0:0.02;1.69
'0:0:0.03;1.81
'0:0:0.04;1.81
'0:0:0.05;1.81
'0:0:0.06;1.81
'0:0:0.07;1.81
'0:0:0.08;1.81
'0:0:0.09;1.81
'0:0:0.1;1.81
'0:0:0.11;1.81
'0:0:0.12;1.81
'0:0:0.13;1.81
'0:0:0.14;1.81
'0:0:0.15;1.81
'0:0:0.16;1.81
'0:0:0.17;1.81
'0:0:0.18;1.81
'0:0:0.19;1.81
'0:0:0.2;1.93
'0:0:0.21;1.81
'0:0:0.22;1.93
'0:0:0.23;1.93
'0:0:0.24;1.93
'0:0:0.25;1.93
'0:0:0.26;2.05
'0:0:0.27;2.05
'0:0:0.28;2.05
'0:0:0.29;2.05
'0:0:0.3;2.05
'0:0:0.31;2.05
'0:0:0.32;2.05
'0:0:0.33;2.05
'0:0:0.34;2.05
'0:0:0.35;2.05
'0:0:0.36;2.05
'0:0:0.37;2.05
'0:0:0.38;2.05
'0:0:0.39;2.05
'0:0:0.4;2.05
'0:0:0.41;2.05
'0:0:0.42;2.05
'0:0:0.43;2.18
'0:0:0.44;2.18
'0:0:0.45;2.05
'0:0:0.46;2.18
'0:0:0.47;2.18
'0:0:0.48;2.18
'0:0:0.49;2.18
'0:0:0.5;2.18
'0:0:0.51;2.3
'0:0:0.52;2.3
'0:0:0.53;2.18
'0:0:0.54;2.3
'0:0:0.55;2.3
'0:0:0.56;2.3
'0:0:0.57;2.3
'0:0:0.58;2.3
'0:0:0.59;2.3
'0:0:0.6;2.18
'0:0:0.61;2.18
'0:0:0.62;2.3
'0:0:0.63;2.3
'0:0:0.64;2.3
'0:0:0.65;2.3
'0:0:0.66;2.3
'0:0:0.67;2.3
'0:0:0.68;2.3
'0:0:0.69;2.3
'0:0:0.7;2.3
'0:0:0.71;2.3
'0:0:0.72;2.3
'0:0:0.73;2.3
'0:0:0.74;2.3
'0:0:0.75;2.3
'0:0:0.76;2.3
'0:0:0.77;2.42
'0:0:0.78;2.66
'0:0:0.79;3.02
'0:0:0.8;3.27
'0:0:0.81;3.75
'0:0:0.82;4.23
'0:0:0.83;4.96
'0:0:0.84;5.32
'0:0:0.85;6.05
'0:0:0.86;6.66
'0:0:0.87;7.38
'0:0:0.88;7.99
'0:0:0.89;8.84
'0:0:0.9;9.32
'0:0:0.91;10.05
'0:0:0.92;10.41
'0:0:0.93;10.78
'0:0:0.94;10.9
'0:0:0.95;10.9
'0:0:0.96;10.65
'0:0:0.97;10.41
'0:0:0.98;10.17
'0:0:0.99;10.05
'0:0:1.0;9.81
'0:0:1.01;9.81
'0:0:1.02;9.69
'0:0:1.03;9.56
'0:0:1.04;9.44
'0:0:1.05;9.32
'0:0:1.06;9.32
'0:0:1.07;9.2
'0:0:1.08;9.2
'0:0:1.09;9.08
'0:0:1.1;9.2
'0:0:1.11;9.81
'0:0:1.12;10.41
'0:0:1.13;11.62
'0:0:1.14;12.35
'0:0:1.15;13.56
'0:0:1.16;14.29
'0:0:1.17;15.38
'0:0:1.18;16.23
'0:0:1.19;17.44
'0:0:1.2;18.16
'0:0:1.21;18.89
'0:0:1.22;19.25
'0:0:1.23;19.5
'0:0:1.24;19.62
'0:0:1.25;19.25
'0:0:1.26;18.77
'0:0:1.27;18.29
'0:0:1.28;18.16
'0:0:1.29;17.8
'0:0:1.3;17.56
'0:0:1.31;17.44
'0:0:1.32;17.2
'0:0:1.33;17.07
'0:0:1.34;16.95
'0:0:1.35;16.83
